CPU,Chunk,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
0,1,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,10,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,100,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,1000,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,10000,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,100000,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
0,1000000,0.5336268739577434,0.5261250452399716,0.5389299742044048,7.993222432471957e-3,0.0,9.185239064848527e-3
1,1,4.8962386992077285,4.5801673819799325,5.13949725121108,0.3745561135525855,0.0,0.4213361714454411
1,10,2.0380968954021768,1.995789889979888,2.0605855354044267,3.685722934684705e-2,0.0,3.8951467077022614e-2
1,100,1.7007733129577265,1.6722010022399652,1.726570997537704,4.2484355354502755e-2,0.0,4.468290041015672e-2
1,1000,1.5298340442077005,1.501407859979891,1.5502793550988248,3.09127954138605e-2,0.0,3.5412317239968856e-2
1,10000,1.591888113791083,1.5419566812400014,1.6221291472044177,4.6046951099840805e-2,0.0,5.237900634528407e-2
1,100000,1.6606198360688216,1.6552708757399366,1.665734768648828,8.66376386934039e-3,0.0,8.859323105860819e-3
1,1000000,1.8933147065132439,1.8863217762399451,1.8996811344265618,1.052644205848267e-2,0.0,1.1026976608591586e-2
2,1,3.3396166857055967,3.193440156515402,3.4196040032863664,0.1282733629927153,0.0,0.13854209801103992
2,10,1.5104333692056275,1.480062322015436,1.528038636286406,2.728546879568227e-2,0.0,3.0493217064727744e-2
2,100,1.1560975817611503,1.1487374332577331,1.161102156347013,7.511161675189176e-3,0.0,8.66817745298187e-3
2,1000,1.1217148561500578,1.093839567677071,1.1384252406769482,2.5533636228533642e-2,0.0,2.8943235014586743e-2
2,10000,1.1797749756501132,1.1713756016769479,1.1876379174296734,1.3179037653040803e-2,0.0,1.3619014659154225e-2
2,100000,1.2988527457889651,1.2772272293437519,1.310305567346191,1.882642692580188e-2,0.0,1.9836868827134847e-2
2,1000000,1.927570889344479,1.9086152200077862,1.9441840373453012,2.697595813265941e-2,2.706168622523819e-16,2.8774816411085462e-2
4,1,3.4836481506680497,2.907879103963337,3.809007247116609,0.5111473261361389,0.0,0.5635384857536073
4,10,1.5873471059735411,1.563821640981721,1.6008635296340856,2.1041970478528772e-2,0.0,2.3411132516689838e-2
4,100,1.115909671168062,1.065735281308992,1.1566209825529046,6.391493709125107e-2,0.0,7.051405976130463e-2
4,1000,1.117786948056926,1.1109229279756587,1.1245121278861496,1.1529994972478065e-2,0.0,1.1648353154252796e-2
4,10000,1.312909137418025,1.3124118399633014,1.3133948905332693,8.315317105401454e-4,0.0,8.413490755378773e-4
4,100000,1.4555935518902912,1.4337578124634953,1.465358804727657,1.9223848943497743e-2,0.0,2.0906696044971595e-2
4,1000000,2.256064503723632,2.2343837762317866,2.271690294300885,2.363563513117225e-2,0.0,2.7064663188233463e-2
8,1,4.307743641352137,4.095211178551431,4.438124635302329,0.19776559802861587,0.0,0.2258265058630626
8,10,1.8760888654353967,1.8472968394018974,1.8966169150686014,3.0986326499364353e-2,0.0,3.555562494500655e-2
8,100,1.3347059026021035,1.3081309754019521,1.3667730921030037,2.9704346006604945e-2,0.0,3.385704186320157e-2
8,1000,1.1680085527132018,1.1532061196029284,1.1761685554239782,1.3019824398124678e-2,0.0,1.41335392849643e-2
8,10000,1.3551386270187669,1.3445312356028447,1.3606862205016519,9.215364323207713e-3,0.0,9.608713772095108e-3
8,100000,1.4902226469354185,1.4835705934020311,1.495037908668989,7.2902502863349435e-3,0.0,8.340277974286357e-3
8,1000000,2.245516957490985,2.2062725050685974,2.2698511775686168,3.680925508925592e-2,0.0,4.214810553702061e-2
